nationality,count
BRITISH,10390854
,1209001
ENGLISH,266194
IRISH,180674
INDIAN,144157
GERMAN,141415
ROMANIAN,122689
POLISH,119663
AMERICAN,116682
CHINESE,112853
FRENCH,110690
ITALIAN,108634
AUSTRALIAN,87390
PAKISTANI,78255
NIGERIAN,72481
DUTCH,63934
FILIPINO,53312
SCOTTISH,49183
SOUTH AFRICAN,48910
NORWEGIAN,47549
BULGARIAN,46425
SPANISH,45587
TURKISH,44554
SWEDISH,39970
LITHUANIAN,33235
PORTUGUESE,32906
NEW ZEALANDER,32194
WELSH,31942
UNITED KINGDOM,31223
CANADIAN,30959
GREEK,27501
BELGIAN,23367
DANISH,23162
HUNGARIAN,23153
ZIMBABWEAN,22638
BANGLADESHI,22467
JAPANESE,19484
RUSSIAN,19166
IRANIAN,17053
SWISS,16666
LATVIAN,15663
MALAYSIAN,15637
NEW ZEALAND,14422
GHANAIAN,14164
SRI LANKAN,14141
AUSTRIAN,14041
BRITISH ,13305
CZECH,11606
OTHER,11553
NORTHERN IRISH,11529
